연번,시도,시군구,기관명,주소,기관 대표전화,위수탁기간,시설유형구분,특화서비스,응급안전안심서비스,방문요양서비스,재가노인복지서비스,사회서비스원 소속,사회서비스형 노인일자리 파견 이용,위도,경도
1,서울특별시,강남구,강남구노인통합지원센터,"서울특별시 강남구 봉은사로24길 70, 2층",02-557-8091,2022-03-01 ~ 2025-02-28 (3년),재가노인복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.50238865,127.0318772
2,서울특별시,강동구,시립강동노인종합복지관,서울특별시 강동구 동남로71길 32-5,02-442-1026,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.55232055,127.1541935
3,서울특별시,강동구,성가정노인종합복지관,서울특별시 강동구 양재대로156길 28,02-481-2218,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.55631796,127.148621
4,서울특별시,강동구,성내종합사회복지관,서울특별시 강동구 성안로13길 56,02-478-2555,2023-01-01 ~ 2024-12-31 (2년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.53179762,127.130259
5,서울특별시,강북구,시립강북노인종합복지관,서울특별시 강북구 삼양로92길 40(인수동),02-999-9179,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.63568682,127.0187526
6,서울특별시,강북구,꿈의숲종합사회복지관,"서울특별시 강북구 오현로 208, 302동 1층",02-984-6777,2023-01-01 ~ 2025-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.63013826,127.0414162
7,서울특별시,강북구,강북재가노인지원센터,"서울 강북구 삼양로 478 (수유동, 동훈빌딩) 2층",02-945-9988,2023-01-01 ~ 2025-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.64594743,127.0155297
8,서울특별시,강북구,번오마을종합사회복지관,"서울 강북구 한천로115길 20 (번동, 번동주공5단지아파트)",02-981-5077,2024-01-01 ~ 2025-12-31 (2년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.63368532,127.0345341
9,서울특별시,강서구,참사랑재가노인지원센터,"서울특별시 강서구 금낭화로 54-20 3층 (방화동, 이화빌딩)",02-2064-0102,2024-01-01 ~ 2025-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.57018341,126.8124673
10,서울특별시,강서구,강서노인종합복지관,서울특별시 강서구 화곡로61길 85,02-3664-0322,2024-01-01 ~ 2025-12-31 (2년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.5581184,126.8474584
11,서울특별시,강서구,강서구립봉제산어르신복지센터,서울특별시 강서구 초록마을로15길 12(화곡동),02-2605-1553,2024-01-01 ~ 2025-12-31 (2년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.54152282,126.8514079
12,서울특별시,관악구,신림종합사회복지관,서울특별시 관악구 난곡로 110 (난향동),02-851-1767,2023-01-01 ~ 2024-12-31 (2년),사회복지관,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.4648376,126.9198595
13,서울특별시,관악구,성민종합사회복지관,서울특별시 관악구 호암로 549(신림동),02-876-0900,2023-01-01 ~ 2024-12-31 (2년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.46678996,126.9312404
14,서울특별시,관악구,사회적협동조합 우리사이,서울 관악구 남부순환로 1457 (신림동) 2층 사회적협동조합 우리사이,02-883-0142,2023-01-01 ~ 2024-12-31 (2년),협동조합,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.48173499,126.9125343
15,서울특별시,관악구,시립관악노인종합복지관,서울특별시 관악구 보라매로 35,02-888-6144,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.49260705,126.9268543
16,서울특별시,광진구,늘푸른돌봄센터,"서울 광진구 용마산로8길 65 (중곡동, 공유공간 돌봄)",02-461-8373,2024-01-01 ~ 2026-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당,해당없음,해당없음,해당없음,37.55946741,127.091464
17,서울특별시,광진구,광진노인종합복지관,서울특별시 광진구 군자로 88,02-466-6242,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.55216384,127.0713648
18,서울특별시,구로구,구로어르신돌봄통합센터,서울특별시 구로구 디지털로27다길 65 지하1층,02-868-1554,2024-01-01 ~ 2025-11-30 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.48714316,126.8901547
19,서울특별시,구로구,구로노인종합복지관,서울특별시 구로구 새말로16길 7,02-838-4600,2024-01-01 ~ 2024-12-09 (1년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.50412411,126.8911917
20,서울특별시,구로구,궁동종합사회복지관,서울특별시 구로구 오리로22길 5,02-2613-9367,2024-01-01 ~ 2026-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.499034,126.82965
21,서울특별시,금천구,금천한내어르신복지센터,"서울특별시 금천구 한내로 69-15(독산동), 금천한내복지관 4층",02-897-5104,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.45738086,126.8864725
22,서울특별시,금천구,금천호암노인종합복지관,서울특별시 금천구 독산로72길 86-5,02-853-7203,2024-01-01 ~ 2025-12-31 (2년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.4682764,126.9028557
23,서울특별시,금천구,금천노인종합복지관,서울특별시 금천구 시흥대로51길 93-32,02-804-4058,2022-01-01 ~ 2024-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.45123957,126.8986897
